category,impact,description,priority
waste_management,medium,Garbage vehicle not arrived reported in Kodigehalli,0.45
waste_management,medium,Garbage dumping in vacant sites issue in Radhakrishna Temple area,0.45
waste_management,medium,Garbage dump reported in Someshwara,0.49
waste_management,low,Sweeping not done reported in Padmanabha Nagar,0.35
waste_management,medium,Garbage vehicle not arrived issue in Gottigere area,0.40
electricity,high,Street Light Not Working problem in Uttarahalli ward,0.72
waste_management,medium,Garbage vehicle not arrived reported in Laggere,0.43
waste_management,medium,Issue with Garbage vehicle not arrived in Mahalakshmipuram,0.45
waste_management,medium,Sweeping not done reported in Hoysala Nagar,0.42
waste_management,medium,Garbage vehicle not arrived reported in Katriguppe,0.43
waste_management,medium,Issue with Stray dog related complaints in Vidyaranyapura,0.41
waste_management,medium,Garbage vehicle not arrived reported in Kumaraswamy Layout,0.44
waste_management,low,Issue with Garbage vehicle not arrived in Puttenahalli,0.36
waste_management,medium,Road side drains reported in Varthur,0.48
waste_management,low,Stray dog related complaints issue in Vijanapura area,0.38
electricity,high,Street Light Not Working problem in Kottigepalya ward,0.75
waste_management,medium,Khata Services (Registration problem in  Bifurcation and Amalgamation) ward,0.48
electricity,medium,Street Light Not Working issue in Katriguppe area,0.69
electricity,medium,Issue with Street Light Not Working in Singasandra,0.70
electricity,high,Street Light Not Working problem in Bagalagunte ward,0.74
waste_management,medium,Complaint regarding Sweeping not done at Giri Nagar,0.42
electricity,medium,Street Light Not Working problem in Ullalu ward,0.66
waste_management,medium,Garbage vehicle not arrived reported in Mahalakshmipuram,0.40
waste_management,low,Stray dog related complaints problem in Hemmigepura ward,0.38
electricity,medium,Street Light Not Working issue in Kuvempu Nagar area,0.68
electricity,high,Complaint regarding Street Light Not Working at BTM Layout,0.75
electricity,medium,Complaint regarding Street Light Not Working at Yeshwanthpur,0.68
waste_management,medium,Debris Removal / Construction Material issue in Jnanabharathi Ward area,0.51
electricity,medium,Street Light Not Working reported in Ullalu,0.68
electricity,medium,Street Light Not Working problem in Vidyaranyapura ward,0.66
electricity,medium,Street Light Not Working reported in Vidyaranyapura,0.70
electricity,high,Complaint regarding Street Light Not Working at Puttenahalli,0.70
electricity,high,Issue with Street Light Not Working in BTM Layout,0.73
electricity,medium,Street Light Not Working problem in Jogupalya ward,0.68
waste_management,medium,Increase in mosquito density issue in Giri Nagar area,0.41
waste_management,medium,Garbage dump reported in Jogupalya,0.48
waste_management,medium,Garbage dump reported in Giri Nagar,0.53
electricity,medium,Street Light Not Working problem in Bellandur ward,0.67
electricity,medium,Complaint regarding Street Light Not Working at Herohalli,0.67
waste_management,medium,Garbage vehicle not arrived problem in Chokkasandra ward,0.42
waste_management,low,Issue with Garbage vehicle not arrived in Begur,0.36
waste_management,low,Road Infrastructure reported in Ramamurthy Nagar,0.39
electricity,medium,Street Light Not Working reported in Bommanahalli,0.66
waste_management,medium,Issue with Other Khata / ekhata issues in Byatarayanapura,0.40
waste_management,low,Garbage vehicle not arrived issue in Hemmigepura area,0.37
waste_management,medium,Debris Removal / Construction Material problem in Devasandra ward,0.43
waste_management,medium,Complaint regarding Ekhata missing in online at Ramamurthy Nagar,0.41
waste_management,low,Noise during Building Construction problem in HBR Layout ward,0.37
waste_management,low,Complaint regarding Sweeping not done at Yelachenahalli,0.39
waste_management,medium,Issue with Garbage dump in Attiguppe,0.47
waste_management,low,Stray/Rabid dog bite reported in Vijay Nagar,0.37
electricity,medium,Issue with Street Light Not Working in Hoodi,0.66
waste_management,low,Issue with Road cutting in Hampi Nagar,0.35
waste_management,medium,Garbage dump reported in Rajamahal,0.51
electricity,medium,Issue with Street Light Not Working in Shankaramata,0.66
waste_management,low,Complaint regarding Complaint against SW collector/ SWM official for violation of SWM Rules at Basavanapura,0.36
waste_management,medium,Stray dog related complaints reported in Mahalakshmipuram,0.45
waste_management,medium,Animal birth control/neutering of stray dogs issue in Hemmigepura area,0.42
waste_management,low,Issue with Property tax owner name not updated in HAL Airport,0.39
waste_management,low,Issue with Debris Removal / Construction Material in Jalahalli,0.40
electricity,high,Complaint regarding Street Light Not Working at Doddanekkundi,0.71
electricity,high,Issue with Street Light Not Working in Hebbal,0.73
waste_management,medium,Complaint regarding Garbage dump at Yelachenahalli,0.54
electricity,high,Issue with Street Light Not Working in Byatarayanapura,0.73
waste_management,low,Garbage vehicle not arrived reported in Gurappanapalya,0.36
waste_management,medium,Khata Services (Registration reported in  Bifurcation and Amalgamation),0.49
waste_management,low,Increase in mosquito density issue in Jnanabharathi Ward area,0.37
electricity,high,Complaint regarding Street Light Not Working at Jakkur,0.75
waste_management,medium,Complaint regarding Garbage dump at Bapuji Nagar,0.45
electricity,medium,Issue with Street Light Not Working in Bellandur,0.66
waste_management,medium,Debris Removal / Construction Material problem in Gurappanapalya ward,0.45
waste_management,medium,Garbage dumping in vacant sites issue in Yelahanka old Satellite Town area,0.54
electricity,high,Complaint regarding Street Light Not Working at Sunkenahalli,0.73
waste_management,medium,Garbage vehicle not arrived problem in K.R.Puram ward,0.42
electricity,medium,Complaint regarding Street Light Not Working at Jakkasandra,0.69
electricity,high,Issue with Street Light Not Working in Dodda Bidarkallu,0.71
waste_management,low,Complaint regarding Road side drains at Hagadooru,0.37
waste_management,medium,obstructions Branches / Trees. reported in Sampangiram Nagar,0.42
waste_management,low,Anti Rabies Vaccination of stray dogs issue in Gottigere area,0.37
electricity,high,Complaint regarding Street Light Not Working at C.V.Raman Nagar,0.72
waste_management,medium,Complaint regarding Potholes at Vidyapeetha,0.55
waste_management,medium,Garbage dump reported in Vasanthapura,0.51
waste_management,low,Complaint regarding Road Infrastructure at Lingarajapuram,0.36
electricity,medium,Street Light Not Working issue in Dodda Bidarkallu area,0.68
waste_management,medium,Complaint regarding Air/Noise pollution at Garudacharpalya,0.52
waste_management,low,Complaint regarding Garbage vehicle not arrived at Arakere,0.38
waste_management,low,Complaint regarding Stray dog related complaints at K.R.Puram,0.35
waste_management,medium,Garbage dump reported in Mangammanapalya,0.50
waste_management,medium,Staff Related problem in Byrasandra ward,0.49
waste_management,medium,Issue with Burning of Garbage in Open Space in Nagavara,0.48
electricity,high,Complaint regarding Street Light Not Working at Rajarajeshwari Nagar,0.72
waste_management,low,Stray dog related complaints problem in A.Narayanapura ward,0.37
waste_management,medium,Issue with Burning of Garbage in Open Space in Arakere,0.44
waste_management,low,Complaint regarding Garbage vehicle not arrived at Horamavu,0.40
waste_management,medium,Garbage dump issue in Sudduguntepalya area,0.50
waste_management,medium,Complaint regarding Garbage dump at Chamrajpet,0.54
waste_management,medium,Garbage vehicle not arrived reported in Manorayanapalya,0.42
electricity,medium,Street Light Not Working issue in Chowdeshwari Ward area,0.68
electricity,medium,Complaint regarding Street Light Not Working at Gayathri Nagar,0.69
electricity,high,Street Light Not Working issue in Chikpete area,0.79
waste_management,medium,Garbage dump issue in Sagayapuram area,0.49
waste_management,low,Issue with Debris Removal / Construction Material in Varthur,0.38
waste_management,medium,Issue with footpath encroachment in Uttarahalli,0.49
waste_management,medium,Stray/Rabid dog bite reported in Ramamurthy Nagar,0.43
waste_management,low,Issue with Road side drains in Singasandra,0.37
waste_management,medium,footpath encroachment reported in Newthippasandra,0.44
electricity,medium,Street Light Not Working problem in Kuvempu Nagar ward,0.70
waste_management,medium,Issue with Footpath in Govindraja Nagara,0.45
waste_management,low,Issue with Removal of dead/fallen trees in Mahalakshmipuram,0.37
electricity,high,Street Light Not Working reported in Byrasandra,0.72
electricity,medium,Street Light Not Working reported in Hombegowda Nagar,0.68
waste_management,medium,Sweeping not done reported in Ganeshmandira Ward,0.44
waste_management,medium,Complaint regarding Potholes at Vasanthapura,0.40
electricity,high,Street Light Not Working reported in Moodalapalya,0.74
electricity,medium,Street Light Not Working reported in Kuvempu Nagar,0.69
electricity,high,Requirement For New Street Lights problem in Shanthi Nagar ward,0.74
electricity,high,Complaint regarding Street Light Not Working at Kottigepalya,0.72
electricity,high,Park Lights Not Working reported in Thanisandra,0.71
waste_management,medium,Garbage vehicle not arrived reported in Doddanekkundi,0.43
electricity,high,Issue with Street Light Not Working in Ramamurthy Nagar,0.72
electricity,high,Complaint regarding Street Light Not Working at Horamavu,0.75
electricity,high,Street Light Not Working issue in Jnanabharathi Ward area,0.75
electricity,high,Street Light Not Working reported in Gottigere,0.73
waste_management,low,Footpath reported in Konanakunte,0.36
electricity,high,Street Light Not Working issue in Shettyhalli area,0.70
electricity,high,Complaint regarding Street Light Not Working at Jeevanbhima Nagar,0.70
waste_management,medium,Animal birth control/neutering of stray dogs problem in Vidyaranyapura ward,0.44
electricity,medium,Requirement For New Street Lights problem in Vasanthapura ward,0.63
waste_management,low,Issue with Sweeping not done in Banaswadi,0.37
waste_management,medium,Potholes problem in Vasanthapura ward,0.44
waste_management,medium,Others reported in Bagalagunte,0.48
waste_management,medium,Sweeping not done issue in Chalavadipalya area,0.42
waste_management,medium,Garbage dump reported in Bellandur,0.54
electricity,medium,Complaint regarding Street Light Not Working at Hanumantha Nagar,0.66
waste_management,low,Issue with Garbage vehicle not arrived in Jnanabharathi Ward,0.37
waste_management,medium,Issue with Air/Noise pollution in Puttenahalli,0.43
electricity,high,Street Light Not Working problem in Rajagopala Nagar ward,0.74
waste_management,medium,Others problem in Benniganahalli ward,0.55
electricity,medium,Street Light Not Working issue in Bellandur area,0.67
waste_management,medium,Ekhata missing in online problem in Shettyhalli ward,0.44
waste_management,medium,Potholes issue in Arakere area,0.43
waste_management,medium,Issues related Snakes/Birds/Monkeys issue in Karisandra area,0.42
waste_management,medium,Issue with Road side drains in C.V.Raman Nagar,0.48
waste_management,medium,Issue with Garbage vehicle not arrived in Banashankari Temple Ward,0.41
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Lingarajapuram,0.44
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Begur,0.45
electricity,high,Street Light Not Working problem in Jakkur ward,0.70
waste_management,low,Road Infrastructure problem in Shanthala Nagar ward,0.37
waste_management,medium,Sweeping not done reported in Rajarajeshwari Nagar,0.40
waste_management,medium,Issue with Garbage vehicle not arrived in Rajarajeshwari Nagar,0.43
waste_management,medium,Issue with Garbage dump in Hongasandra,0.50
waste_management,medium,Issue with ekhata approval pending with ARO in Shettyhalli,0.45
electricity,high,Complaint regarding Street Light Not Working at Jnanabharathi Ward,0.72
waste_management,medium,Sweeping not done problem in Vasanthapura ward,0.43
waste_management,medium,Garbage dump problem in Puttenahalli ward,0.55
waste_management,medium,Garbage dump issue in Someshwara area,0.55
waste_management,low,Issue with Burning of Garbage in Open Space in Arakere,0.35
waste_management,medium,Garbage dump reported in Malleshwaram,0.58
waste_management,low,Issue with Sweeping not done in Thanisandra,0.36
waste_management,medium,Complaint regarding Garbage dump at Ganeshmandira Ward,0.54
waste_management,medium,Garbage dump issue in Konanakunte area,0.55
waste_management,medium,Dead animal(s) reported in Anjanapur,0.43
electricity,high,Street Light Not Working issue in Jakkur area,0.73
waste_management,medium,Garbage vehicle not arrived problem in Someshwara ward,0.45
waste_management,low,Other Khata / ekhata issues reported in Adugodi,0.35
electricity,high,Street Light Not Working reported in Hemmigepura,0.74
waste_management,low,Stray dog related complaints reported in Bellandur,0.39
waste_management,medium,Water related issue problem in Sanjay Nagar ward,0.48
electricity,high,Street Light Not Working problem in Sri Nagar ward,0.70
waste_management,medium,Garbage dump problem in Maruthi Seva Nagar ward,0.52
waste_management,low,Garbage vehicle not arrived issue in Hoysala Nagar area,0.39
waste_management,medium,Complaint regarding Animal birth control/neutering of stray dogs at HSR Layout,0.44
waste_management,low,Dead animal(s) problem in Arakere ward,0.40
electricity,medium,Complaint regarding Street Light Not Working at Ullalu,0.67
electricity,medium,Street Light Not Working issue in Doddanekkundi area,0.69
waste_management,low,Khata / Ekhata mutation / transfer reported in Hegganahalli,0.39
waste_management,medium,Road furnitures issue in BTM Layout area,0.41
waste_management,medium,Road side drains reported in Singasandra,0.55
waste_management,low,Stray dog related complaints problem in Jnanabharathi Ward ward,0.37
waste_management,medium,Garbage vehicle not arrived reported in Padmanabha Nagar,0.44
electricity,high,Street Light Not Working reported in K.R.Puram,0.75
waste_management,medium,Garbage dump reported in Yelachenahalli,0.50
electricity,high,Issue with Street Light Not Working in Dodda Bidarkallu,0.70
waste_management,medium,Garbage dump problem in Agrahara Dasarahalli ward,0.51
waste_management,medium,UnAuthorised Constructions issue in Hagadooru area,0.53
waste_management,low,Unhygienic premises in Hotel etc issue in Bellandur area,0.39
waste_management,medium,Sweeping not done problem in Vidyaranyapura ward,0.41
waste_management,medium,Road side drains problem in Jnanabharathi Ward ward,0.43
electricity,medium,Complaint regarding Street Light Not Working at Basavanapura,0.68
waste_management,medium,Issue with Stray dog related complaints in Varthur,0.41
electricity,medium,Street Light Not Working problem in Newthippasandra ward,0.68
electricity,medium,Street Light Not Working reported in Hanumantha Nagar,0.66
waste_management,medium,Road Infrastructure issue in Hegganahalli area,0.46
electricity,high,Issue with Street Light Not Working in Hoodi,0.75
waste_management,medium,Complaint regarding Road side drains at Thanisandra,0.50
electricity,high,Street Light Not Working reported in Garudacharpalya,0.72
electricity,high,Complaint regarding Street Light Not Working at BTM Layout,0.72
waste_management,low,Potholes issue in Bharathi Nagar area,0.39
electricity,high,Street Light Not Working issue in Giri Nagar area,0.71
electricity,medium,Street Light Not Working problem in Peenya Industrial Area ward,0.66
electricity,medium,Street Light Not Working issue in Jogupalya area,0.69
electricity,high,Street Light Not Working reported in Sanjay Nagar,0.74
electricity,high,Street Light Not Working problem in Vidyaranyapura ward,0.71
electricity,medium,Street Light Not Working issue in Malleshwaram area,0.68
electricity,medium,Street Light Not Working reported in Chokkasandra,0.68
waste_management,medium,Potholes problem in Chikkalasandra ward,0.43
electricity,high,Complaint regarding Street Light Not Working at Kempegowda Ward,0.73
electricity,high,Street Light Not Working reported in Chokkasandra,0.73
traffic,low,TEC reported in BTM Layout,0.35
electricity,medium,Issue with Street Light Not Working in Hebbal,0.68
electricity,medium,Complaint regarding Street Light Not Working at Shanthi Nagar,0.69
waste_management,medium,UnAuthorised Constructions problem in A.Narayanapura ward,0.41
waste_management,medium,Complaint regarding Property tax owner name not updated at K.R.Puram,0.44
electricity,medium,Street Light Not Working issue in Ullalu area,0.70
waste_management,medium,Complaint regarding Garbage dump at K.R.Puram,0.55
waste_management,medium,Complaint regarding Potholes at Benniganahalli,0.53
waste_management,medium,Issue with Debris Removal / Construction Material in Shanthala Nagar,0.54
waste_management,medium,Air/Noise pollution issue in Shakambari Nagar area,0.47
waste_management,medium,Issue with obstructions Branches / Trees. in Bagalagunte,0.43
waste_management,medium,Complaint regarding Animal birth control/neutering of stray dogs at Vignana Nagar,0.43
waste_management,medium,Garbage dumping in vacant sites issue in Byatarayanapura area,0.46
waste_management,medium,Road Infrastructure reported in Kammanahalli,0.42
waste_management,medium,Road side drains issue in Ullalu area,0.52
waste_management,medium,Complaint regarding Garbage dump at Padmanabha Nagar,0.50
electricity,medium,Issue with Street Light Not Working in Garudacharpalya,0.68
waste_management,medium,Road Infrastructure reported in Sunkenahalli,0.43
waste_management,low,Complaint regarding Garbage vehicle not arrived at Vishwanathnagenahalli,0.36
waste_management,low,Complaint regarding Stray dog related complaints at Rajarajeshwari Nagar,0.38
waste_management,low,Garbage vehicle not arrived reported in Jnanabharathi Ward,0.40
waste_management,medium,Road Infrastructure reported in Horamavu,0.45
waste_management,medium,Garbage dump issue in Konena Agrahara area,0.52
electricity,high,Issue with Street Light Not Working in Bilekahalli,0.70
waste_management,medium,Issue with Garbage vehicle not arrived in Banaswadi,0.40
electricity,medium,Street Light Not Working issue in Garudacharpalya area,0.67
waste_management,medium,Road side drains issue in HBR Layout area,0.41
waste_management,low,Complaint regarding Debris Removal / Construction Material at Shiva Nagar,0.37
waste_management,medium,Complaint regarding Stray dog related complaints at Kavalbyrasandra,0.43
waste_management,medium,Garbage vehicle not arrived reported in Vishwanathnagenahalli,0.45
electricity,high,Street Light Not Working reported in Dodda Bidarkallu,0.74
waste_management,medium,Stray dog related complaints reported in BTM Layout,0.41
electricity,high,Street Light Not Working reported in Vidyaranyapura,0.73
waste_management,medium,Garbage dump reported in Byrasandra,0.50
waste_management,medium,Issue with Sweeping not done in Bagalagunte,0.43
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Gottigere,0.43
waste_management,medium,Animal birth control/neutering of stray dogs issue in C.V.Raman Nagar area,0.55
waste_management,medium,Issue with Debris Removal / Construction Material in Vignana Nagar,0.40
electricity,medium,Issue with Street Light Not Working in Jayanagar East,0.68
electricity,high,Street Light Not Working reported in Shanthala Nagar,0.72
electricity,high,Issue with Street Light Not Working in Hoodi,0.72
electricity,high,Complaint regarding Street Light Not Working at Garudacharpalya,0.74
electricity,medium,Street Light Not Working problem in Garudacharpalya ward,0.67
waste_management,low,Issue with Potholes in Agrahara Dasarahalli,0.38
electricity,high,Street Light Not Working reported in Hoysala Nagar,0.72
electricity,high,Street Light Not Working reported in HBR Layout,0.75
waste_management,low,Issue with Flex and banners in Jayachamarajendra Nagar,0.35
electricity,high,Street Light Not Working reported in Banaswadi,0.72
waste_management,low,Road side drains problem in Singasandra ward,0.38
electricity,medium,Street Light Not Working issue in Rajaji Nagar area,0.69
electricity,medium,Street Light Not Working problem in Basavanagudi ward,0.67
electricity,medium,Street Light Not Working reported in Vasanthapura,0.69
electricity,high,Street Light Not Working reported in Dodda Bidarkallu,0.74
electricity,medium,Issue with Street Light Not Working in Shakambari Nagar,0.67
waste_management,medium,Garbage dump reported in Someshwara,0.47
electricity,high,Street Light Not Working problem in Rajarajeshwari Nagar ward,0.73
electricity,medium,Complaint regarding Street Light Not Working at Singasandra,0.68
electricity,high,Street Light Not Working reported in K.R.Puram,0.75
electricity,medium,Issue with Street Light Not Working in Kempegowda Ward,0.68
electricity,high,Issue with Street Light Not Working in HBR Layout,0.71
waste_management,medium,Garbage vehicle not arrived reported in Begur,0.42
waste_management,medium,Road side drains problem in Anjanapur ward,0.44
electricity,medium,Street Light Not Working reported in Sanjay Nagar,0.67
electricity,medium,Street Light Not Working reported in HSR Layout,0.65
waste_management,low,Sweeping not done problem in Ullalu ward,0.36
waste_management,medium,Burning of Garbage in Open Space issue in Garudacharpalya area,0.44
waste_management,low,Ekhata missing in online problem in Bellandur ward,0.37
waste_management,medium,Burning of Garbage in Open Space reported in Rajarajeshwari Nagar,0.42
electricity,medium,Street Light Not Working problem in Ramamurthy Nagar ward,0.66
waste_management,medium,Removal of dead/fallen trees issue in Kodigehalli area,0.43
waste_management,medium,Complaint regarding Garbage vehicle not arrived at K.R.Puram,0.43
waste_management,medium,Garbage nuisance while transporting issue in Vidyaranyapura area,0.40
waste_management,medium,Garbage dump issue in J.P.Nagar area,0.47
waste_management,medium,Issue with Other Khata / ekhata issues in Chamrajpet,0.41
electricity,medium,Issue with Street Light Not Working in Attiguppe,0.68
waste_management,medium,Sweeping not done issue in Kacharakanahalli area,0.45
waste_management,medium,Issue with Removal of dead/fallen trees in Vasanthapura,0.50
waste_management,medium,Stray cattle related complaints problem in Vasanthapura ward,0.42
waste_management,low,Issue with Public dustbins not cleaned in Kodigehalli,0.38
electricity,medium,Complaint regarding Street Light Not Working at Dodda Bidarkallu,0.67
waste_management,medium,ekhata approval pending with ARO problem in Begur ward,0.44
waste_management,low,Animal Rescue - Not well - Requires attention issue in Vidyapeetha area,0.39
waste_management,low,Stray dog related complaints reported in Neelasandra,0.37
waste_management,low,Complaint regarding Road Infrastructure at Hagadooru,0.38
waste_management,medium,footpath encroachment problem in Ramamurthy Nagar ward,0.42
waste_management,medium,Road Infrastructure problem in Kadugodi ward,0.42
electricity,high,Complaint regarding Street Light Not Working at Newthippasandra,0.71
waste_management,low,Sweeping not done problem in Kuvempu Nagar ward,0.38
electricity,medium,Requirement For New Street Lights reported in Vidyaranyapura,0.61
waste_management,low,Sweeping not done issue in Bharathi Nagar area,0.39
waste_management,medium,Issue with Garbage dump in Nagapura,0.52
waste_management,medium,Others problem in Dattathreya Temple ward,0.51
waste_management,low,Unsafe Hoardings problem in Nayandanahalli ward,0.37
waste_management,medium,Garbage vehicle not arrived reported in Gottigere,0.43
waste_management,low,Complaint regarding Removal of dead/fallen trees at Pattabhiram Nagar,0.36
waste_management,medium,Issue with Mutton/Chicken/fish stall Unhygienic maintenance in Sagayapuram,0.42
waste_management,medium,Road Infrastructure problem in Kammanahalli ward,0.42
electricity,high,Street Light Not Working problem in Herohalli ward,0.71
waste_management,low,Issue with Garbage vehicle not arrived in Padmanabha Nagar,0.35
waste_management,medium,Garbage vehicle not arrived reported in Padmanabha Nagar,0.45
waste_management,low,Issue with Garbage vehicle not arrived in Begur,0.37
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Someshwara,0.42
waste_management,medium,Issue with Garbage dump in Banashankari Temple Ward,0.52
waste_management,medium,Issue with Garbage dump in Giri Nagar,0.48
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Laggere,0.46
waste_management,medium,Issue with Burning of Garbage in Open Space in Jakkur,0.41
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Byatarayanapura,0.40
waste_management,low,Garbage vehicle not arrived reported in Agrahara Dasarahalli,0.36
waste_management,medium,Garbage dump problem in Katriguppe ward,0.51
electricity,medium,Street Light Not Working issue in Basavanapura area,0.66
waste_management,medium,Road cutting problem in Doddanekkundi ward,0.41
waste_management,medium,Complaint regarding Fatally injured - Needs immediate attention at Someshwara,0.47
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Basavanapura,0.41
waste_management,low,Issue with Garbage vehicle not arrived in K.R.Puram,0.37
electricity,medium,Issue with Street Lights Switched On During Day Time in Subedarapalya,0.59
waste_management,medium,Issue with Garbage dump in Manorayanapalya,0.52
waste_management,medium,Others issue in Kuvempu Nagar area,0.54
electricity,medium,Issue with Street Light Not Working in Karisandra,0.66
waste_management,medium,UnAuthorised Constructions reported in Basavanapura,0.51
electricity,high,Complaint regarding Street Light Not Working at Hegganahalli,0.74
waste_management,medium,Others problem in HAL Airport ward,0.54
waste_management,medium,Stray dog related complaints issue in Maruthi Seva Nagar area,0.54
waste_management,medium,Road cutting problem in Jakkur ward,0.45
electricity,high,Street Light Not Working problem in Uttarahalli ward,0.74
electricity,high,Street Light Not Working issue in Thanisandra area,0.74
waste_management,medium,Garbage vehicle not arrived reported in Bellandur,0.42
electricity,high,Street Light Not Working issue in Begur area,0.71
electricity,high,Street Light Not Working issue in Dodda Bidarkallu area,0.75
electricity,high,Street Light Not Working problem in Varthur ward,0.74
waste_management,low,Issue with footpath encroachment in Basavanagudi,0.38
electricity,medium,Street Light Not Working problem in Ullalu ward,0.66
waste_management,medium,Garbage dumping in vacant sites reported in Banaswadi,0.53
electricity,medium,Street Light Not Working reported in Ulsoor,0.66
electricity,high,Complaint regarding Street Light Not Working at Rajarajeshwari Nagar,0.74
electricity,high,Complaint regarding Street Light Not Working at Sampangiram Nagar,0.72
electricity,medium,Street Lights Switched On During Day Time problem in Visvesvarapuram ward,0.62
waste_management,medium,Unable to Generate the receipt after property tax payment. reported in HBR Layout,0.41
waste_management,low,Issue with Stray dog related complaints in Kottigepalya,0.39
electricity,high,Street Light Not Working problem in Hoodi ward,0.71
waste_management,medium,Complaint regarding Garbage dump at Ullalu,0.45
electricity,medium,Complaint regarding Street Light Not Working at Herohalli,0.66
electricity,medium,Street Light Not Working reported in Hosahalli,0.65
waste_management,low,obstructions Branches / Trees. problem in Radhakrishna Temple ward,0.39
electricity,high,Complaint regarding Street Light Not Working at Vidyaranyapura,0.70
waste_management,low,Stray dog related complaints problem in Rajaji Nagar ward,0.36
electricity,medium,Street Light Not Working issue in HBR Layout area,0.68
waste_management,medium,Complaint regarding UnAuthorised Constructions at Sudam Nagar,0.52
waste_management,medium,Garbage dump reported in Giri Nagar,0.46
electricity,medium,Street Light Not Working problem in Chikpete ward,0.65
waste_management,medium,Potholes issue in Malleshwaram area,0.52
waste_management,medium,Garbage dumping in vacant sites problem in Garudacharpalya ward,0.53
waste_management,medium,Debris Removal / Construction Material issue in Koramangala area,0.41
waste_management,medium,Footpath reported in Chikpete,0.53
waste_management,medium,Issue with Footpath in Chikpete,0.51
waste_management,medium,Footpath problem in Chikpete ward,0.52
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Jayangar,0.41
electricity,high,Issue with Street Light Not Working in Thanisandra,0.71
waste_management,low,Complaint regarding Unsafe Hoardings at Chokkasandra,0.39
waste_management,medium,Issue with Garbage dump in BTM Layout,0.52
waste_management,low,Food Quantity issue in Chikpete area,0.40
waste_management,medium,Khata Services (Registration reported in  Bifurcation and Amalgamation),0.49
waste_management,medium,UnAuthorised Constructions problem in Sudam Nagar ward,0.46
electricity,medium,Street Light Not Working issue in Kempegowda Ward area,0.68
waste_management,medium,Debris Removal / Construction Material issue in HSR Layout area,0.41
waste_management,low,Sweeping not done issue in Hemmigepura area,0.38
waste_management,medium,Issue with Garbage dump in S.K.Garden,0.47
waste_management,medium,Footpath problem in Dr.Rajkumar Ward ward,0.44
electricity,medium,Street Light Not Working issue in Kempegowda Ward area,0.68
waste_management,medium,Garbage vehicle not arrived issue in Kumaraswamy Layout area,0.45
waste_management,medium,Others issue in Gayathri Nagar area,0.53
electricity,medium,Street Light Not Working reported in Dodda Bidarkallu,0.68
electricity,medium,Street Light Not Working issue in Vijanapura area,0.67
waste_management,medium,Issue with Overhanging cables in Yelahanka old Satellite Town,0.45
waste_management,medium,Garbage dump problem in Kempegowda Ward ward,0.51
waste_management,medium,Garbage dump problem in K.R.Puram ward,0.51
waste_management,low,Issue with Ekhata - name correction in Ullalu,0.39
waste_management,medium,Complaint regarding Complaint against SW collector/ SWM official for violation of SWM Rules at Vasanthapura,0.41
electricity,medium,Issue with Street Light Not Working in Vijanapura,0.67
waste_management,medium,Garbage vehicle not arrived reported in Thanisandra,0.42
waste_management,medium,Sweeping not done reported in Jnanabharathi Ward,0.41
waste_management,medium,Issue with Garbage dump in Gandhi Nagar,0.54
waste_management,low,Garbage vehicle not arrived problem in Padmanabha Nagar ward,0.40
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Katriguppe,0.42
waste_management,medium,Issue with Sweeping not done in Pattabhiram Nagar,0.44
waste_management,low,Road side drains problem in Byatarayanapura ward,0.39
waste_management,low,Garbage vehicle not arrived problem in Puttenahalli ward,0.37
waste_management,medium,Flex and banners reported in Gangenahalli,0.40
waste_management,low,footpath encroachment issue in Vannarpet area,0.37
waste_management,low,Garbage vehicle not arrived reported in Adugodi,0.39
waste_management,medium,Burning of Garbage in Open Space problem in Nandini Layout ward,0.40
waste_management,low,Burning of Garbage in Open Space problem in Katriguppe ward,0.35
waste_management,medium,Issue with Garbage dump in Vidyaranyapura,0.54
waste_management,medium,Footpath reported in Konanakunte,0.48
electricity,medium,Street Light Not Working reported in Ullalu,0.67
waste_management,low,Anti Rabies Vaccination of stray dogs problem in Horamavu ward,0.36
waste_management,low,Garbage vehicle not arrived reported in Bagalagunte,0.37
electricity,high,Street Light Not Working problem in K.R.Puram ward,0.74
waste_management,medium,Garbage vehicle not arrived issue in Varthur area,0.44
waste_management,medium,Garbage dump reported in Visvesvarapuram,0.46
waste_management,medium,Complaint regarding Stray dog related complaints at Hemmigepura,0.41
electricity,high,Complaint regarding Street Light Not Working at Doddabommasandra,0.70
waste_management,medium,UnAuthorised Building Constructions issue in Puttenahalli area,0.52
waste_management,medium,Complaint regarding Garbage dump at Hongasandra,0.51
waste_management,medium,Potholes issue in Jalahalli area,0.45
electricity,high,Complaint regarding Street Light Not Working at Hoodi,0.75
waste_management,medium,Complaint regarding Others at Hagadooru,0.53
electricity,high,Street Light Not Working reported in Dodda Bidarkallu,0.74
waste_management,medium,Garbage vehicle not arrived issue in Jnanabharathi Ward area,0.43
